TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
dwgsim-genome-pe100-cov8	29.51	1.12	28.38	358736	0	397722	1	569
art_original-genome-pe100-cov8	77.30	9.30	67.98	75768	0	28714	6	1266
art_modern-genome-pe100-cov8	2.93	1.48	16.32	218504	0	88171	36998	313
art_modern_gcc-genome-pe100-cov8	4.87	1.13	27.29	194248	0	86123	60560	629
wgsim-genome-pe100-cov16	23.21	1.49	21.70	114932	0	109085	3	253
pirs-genome-pe100-cov16	14.05	4.89	99.33	33160	0	13004	1099649	3497
dwgsim-genome-pe100-cov16	56.65	1.80	54.84	358868	0	397722	1	1393
art_original-genome-pe100-cov16	153.49	18.48	134.98	75624	0	28714	12	3027
art_modern-genome-pe100-cov16	5.57	2.42	33.09	220836	0	88720	87774	784
art_modern_gcc-genome-pe100-cov16	9.77	2.73	56.32	195456	0	86521	112701	1782
wgsim-transcriptome-pe100-cov1	1.18	0.07	1.10	15444	0	12015	1	42
dwgsim-transcriptome-pe100-cov1	3.48	0.51	2.95	18708	0	251567	1	621
art_original-transcriptome-pe100-cov1	6.66	0.78	5.87	11268	0	1414	1	583
art_modern-transcriptome-pe100-cov1	0.49	0.20	1.26	247060	0	60489	5312	170
art_modern_gcc-transcriptome-pe100-cov1	0.69	0.20	2.10	224028	0	58535	7301	154
wgsim-transcriptome-pe100-cov2	2.04	0.13	1.90	15292	0	12018	1	149
dwgsim-transcriptome-pe100-cov2	5.54	0.54	4.97	18124	0	251566	1	826
art_original-transcriptome-pe100-cov2	12.15	1.48	10.65	11244	0	1415	1	851
art_modern-transcriptome-pe100-cov2	0.82	0.29	2.44	247948	0	60912	10300	228
art_modern_gcc-transcriptome-pe100-cov2	1.17	0.28	4.22	224176	0	58717	14302	271
wgsim-transcriptome-pe100-cov4	3.60	0.27	3.32	15264	0	12016	1	353
dwgsim-transcriptome-pe100-cov4	9.24	0.61	8.61	18732	0	251566	1	914
art_original-transcriptome-pe100-cov4	23.07	2.65	20.39	11060	0	1413	1	1397
art_modern-transcriptome-pe100-cov4	1.36	0.51	5.02	248052	0	60776	18116	319
art_modern_gcc-transcriptome-pe100-cov4	2.26	0.46	7.96	224380	0	58912	28404	356
wgsim-transcriptome-pe100-cov8	6.75	0.39	6.35	15064	0	12018	1	451
dwgsim-transcriptome-pe100-cov8	17.03	0.88	16.14	18192	0	251565	3	1075
art_original-transcriptome-pe100-cov8	45.09	5.32	39.73	11272	0	1415	3	2482
art_modern-transcriptome-pe100-cov8	2.66	0.72	9.67	247748	0	60925	41183	759
